ecosystem,country,criterion_A1,criterion_A2b,criterion_A3,criterion_B1,criterion_B2,criterion_B3,criterion_C2a,criterion_C2b,criterion_D1,criterion_D2b,criterion_D3
Tropical Dry Forest & Woodland,Cuba,VU,LC,EN,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Bahamas,DD,CR,DD,CR,CO,VU,DD,DD,DD,DD,DD
Tropical Dry Forest & Woodland,Antigua and Barbuda,CR,LC,CR,LC,NT,VU,DD,DD,DD,NE,DD
Tropical Dry Forest & Woodland,Panama,LC,EN,LC,LC,VU,LC,DD,DD,VU,LC,LC
Tropical Dry Forest & Woodland,Jamaica,VU,DD,VU,EN,CR,LC,DD,DD,LC,NE,VU
Tropical Dry Forest & Woodland,Haiti,DD,LC,CR,LC,LC,LC,DD,NE,DD,NE,DD
Tropical Dry Forest & Woodland,Dominican Republic,DD,LC,EN,LC,NT,VU,DD,DD,DD,NE,DD
Tropical Dry Forest & Woodland,Nicaragua,VU,CR,VU,LC,LC,LC,DD,NE,VU,VU,VU
Tropical Dry Forest & Woodland,Mexico,NT,LC,VU,LC,LC,LC,DD,NE,LC,NT,LC
Tropical Dry Forest & Woodland,Cuba,EN,LC,EN,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Honduras,LC,EN,LC,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Dry Forest & Woodland,Guatemala,NT,CR,NT,LC,LC,LC,DD,NE,VU,NT,LC
Tropical Dry Forest & Woodland,El Salvador,DD,LC,EN,LC,LC,LC,DD,NE,LC,EN,LC
Tropical Dry Forest & Woodland,Puerto Rico,VU,LC,EN,LC,NT,VU,DD,NE,VU,NE,EN
Tropical Dry Forest & Woodland,Turks and Caicas Islands,DD,LC,DD,DD,DD,DD,DD,DD,DD,DD,DD
Tropical Dry Forest & Woodland,Bahamas,LC,LC,LC,LC,LC,LC,DD,NE,LC,NE,LC
Tropical Dry Forest & Woodland,Belize,LC,EN,LC,EN,LC,LC,DD,NE,VU,LC,LC
Tropical Dry Forest & Woodland,United States,DD,LC,EN,LC,LC,LC,DD,NE,DD,NE,DD
Tropical Dry Forest & Woodland,Costa Rica,VU,LC,EN,LC,LC,LC,DD,NE,VU,VU,VU
Cool Temperate Forest,Canada,LC,EN,LC,LC,LC,LC,DD,DD,LC,NE,LC
Cool Temperate Forest,United States,LC,EN,LC,LC,LC,LC,DD,DD,LC,NE,LC
Cool Temperate Forest,Canada,LC,EN,LC,LC,LC,LC,DD,DD,LC,NE,LC
Cool Temperate Forest,United States,LC,VU,LC,LC,LC,LC,DD,NE,LC,NE,LC
Cool Temperate Forest,United States,LC,VU,NT,LC,LC,LC,EN,NE,LC,NE,VU
Cool Temperate Forest,Canada,LC,LC,LC,LC,NT,LC,LC,DD,VU,NE,EN
Temperate Flooded & Swamp Forest,Canada,EN,LC,CR,LC,LC,LC,DD,DD,LC,NE,LC
Temperate Flooded & Swamp Forest,United States,VU,LC,CR,LC,LC,LC,DD,LC,LC,NE,VU
Temperate Flooded & Swamp Forest,United States,LC,LC,VU,LC,LC,LC,DD,LC,LC,NE,LC
Temperate Flooded & Swamp Forest,Canada,LC,LC,VU,LC,LC,LC,DD,DD,LC,NE,LC
Tropical Dry Forest & Woodland,Honduras,VU,LC,EN,LC,LC,LC,DD,NE,VU,EN,VU
Tropical Dry Forest & Woodland,Nicaragua,DD,NT,EN,LC,NT,VU,DD,DD,EN,EN,EN
Tropical Dry Forest & Woodland,Mexico,LC,LC,NT,LC,LC,LC,DD,NE,LC,VU,LC
Tropical Dry Forest & Woodland,Guatemala,DD,NT,DD,LC,NT,LC,DD,NE,DD,EN,DD
Tropical Dry Forest & Woodland,Mexico,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Tropical Dry Forest & Woodland,Nicaragua,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
