ecosystem,country,mean_severity_C2a,extent_C2a,mean_severity_C2b,extent_C2b,mean_severity_D1,extent_D1,mean_severity_D2b,extent_D2b,mean_severity_D3,extent_D3
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,United States,NA,NA,0.298,1,0.054,1,NA,NA,0.549,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,Canada,NA,NA,NA,NA,0.041,1,NA,NA,0.405,1
Temperate Flooded & Swamp Forest,United States,0.139,1,0.285,1,0.084,1,NA,NA,0.503,1
Temperate Flooded & Swamp Forest,Canada,0.102,1,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,Mexico,0.771,1,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,Cuba,0.048,1,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,Bahamas,0.178,1,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,United States,NA,NA,0.371,1,0.132,1,NA,NA,0.549,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,United States,NA,NA,0.193,1,0.061,1,NA,NA,0.506,1
Temperate Flooded & Swamp Forest,Canada,NA,NA,NA,NA,0.12,1,NA,NA,0.144,1
Temperate Flooded & Swamp Forest,United States,NA,NA,0.39,1,0.076,1,NA,NA,0.152,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,United States,NA,NA,NA,NA,0.157,1,NA,NA,0.402,1
Temperate Flooded & Swamp Forest,Canada,NA,NA,NA,NA,0.178,1,NA,NA,0.238,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,Mexico,NA,NA,0.161,1,0.127,1,NA,NA,0.111,1
Temperate Flooded & Swamp Forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Flooded & Swamp Forest,United States,NA,NA,0.272,1,0.19,1,NA,NA,0.303,1
Tropical Dry Forest & Woodland,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Antigua and Barbuda,NA,NA,NA,NA,0.25,1,NA,NA,0.5,1
Tropical Dry Forest & Woodland,Bahamas,NA,NA,NA,NA,0.192,1,NA,NA,0.362,1
Tropical Dry Forest & Woodland,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Cuba,NA,NA,NA,NA,0.205,1,NA,NA,0.341,1
Tropical Dry Forest & Woodland,Dominica,NA,NA,NA,NA,0,1,NA,NA,0.118,1
Tropical Dry Forest & Woodland,Dominican Republic,NA,NA,NA,NA,0.226,1,NA,NA,0.279,1
Tropical Dry Forest & Woodland,Grenada,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Dry Forest & Woodland,Guadeloupe,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Dry Forest & Woodland,Haiti,NA,NA,NA,NA,0,1,NA,NA,0.27,1
Tropical Dry Forest & Woodland,Jamaica,NA,NA,NA,NA,0.004,1,NA,NA,0.196,1
Tropical Dry Forest & Woodland,Martinique,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Dry Forest & Woodland,Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Puerto Rico,NA,NA,NA,NA,0.182,1,NA,NA,0.266,1
Tropical Dry Forest & Woodland,Saint Barthélemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Saint Kitts and Nevis,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Dry Forest & Woodland,Saint Lucia,NA,NA,NA,NA,0,1,NA,NA,0,1
Tropical Dry Forest & Woodland,Saint Martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Saint Vincent and the Grenadines,NA,NA,NA,NA,NA,NA,NA,NA,0,1
Tropical Dry Forest & Woodland,Sint Maarten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tropical Dry Forest & Woodland,Trinidad and Tobago,NA,NA,NA,NA,0.12,1,NA,NA,0.748,1
Tropical Dry Forest & Woodland,Turks and Caicas Islands,NA,NA,NA,NA,0.406,1,NA,NA,0.406,1
